Datum (MEZ);Day Ahead Auktion
;Preis (EUR/MWh, EUR/tCO2)
01.01.23 00:00;-5,17
01.01.23 01:00;-1,07
01.01.23 02:00;-1,47
01.01.23 03:00;-5,08
01.01.23 04:00;-4,49
01.01.23 05:00;-5,4
01.01.23 06:00;-5,02
01.01.23 07:00;-1,3
01.01.23 08:00;-1,44
01.01.23 09:00;-1,09
01.01.23 10:00;-1,07
01.01.23 11:00;-1,07
01.01.23 12:00;-0,79
01.01.23 13:00;-0,27
01.01.23 14:00;0,85
01.01.23 15:00;23,53
01.01.23 16:00;36,54
01.01.23 17:00;46,03
01.01.23 18:00;55,57
01.01.23 19:00;54,95
01.01.23 20:00;49,23
01.01.23 21:00;44,99
01.01.23 22:00;45,96
01.01.23 23:00;35
02.01.23 00:00;57,91
02.01.23 01:00;51,67
02.01.23 02:00;52,93
02.01.23 03:00;44,09
02.01.23 04:00;50,08
02.01.23 05:00;69,72
02.01.23 06:00;105,08
02.01.23 07:00;140,64
02.01.23 08:00;145,98
02.01.23 09:00;147,05
02.01.23 10:00;145,61
02.01.23 11:00;143,35
02.01.23 12:00;144,38
02.01.23 13:00;143,76
02.01.23 14:00;148,2
02.01.23 15:00;155,34
02.01.23 16:00;162,89
02.01.23 17:00;170
02.01.23 18:00;174,74
02.01.23 19:00;164,46
02.01.23 20:00;153
02.01.23 21:00;141,67
02.01.23 22:00;134,91
02.01.23 23:00;124,22
03.01.23 00:00;130,01
03.01.23 01:00;120
03.01.23 02:00;118,76
03.01.23 03:00;115
03.01.23 04:00;113,63
03.01.23 05:00;116,27
03.01.23 06:00;138,92
03.01.23 07:00;159,92
03.01.23 08:00;169,17
03.01.23 09:00;171,18
03.01.23 10:00;168,57
03.01.23 11:00;169,49
03.01.23 12:00;164,5
03.01.23 13:00;160,91
03.01.23 14:00;163,06
03.01.23 15:00;167,73
03.01.23 16:00;166,61
03.01.23 17:00;170,72
03.01.23 18:00;168,93
03.01.23 19:00;160,99
03.01.23 20:00;149,62
03.01.23 21:00;130,99
03.01.23 22:00;114,27
03.01.23 23:00;93,66
04.01.23 00:00;80,89
04.01.23 01:00;70,67
04.01.23 02:00;40
04.01.23 03:00;8,68
04.01.23 04:00;0,85
04.01.23 05:00;11,02
04.01.23 06:00;61,02
04.01.23 07:00;79,2
04.01.23 08:00;84,2
04.01.23 09:00;83,32
04.01.23 10:00;70,07
04.01.23 11:00;79,74
04.01.23 12:00;80,89
04.01.23 13:00;79,72
04.01.23 14:00;80,22
04.01.23 15:00;79,74
04.01.23 16:00;80,82
04.01.23 17:00;86,16
04.01.23 18:00;72,28
04.01.23 19:00;66,61
04.01.23 20:00;43,2
04.01.23 21:00;31,25
04.01.23 22:00;34,96
04.01.23 23:00;9,09
05.01.23 00:00;0,05
05.01.23 01:00;0,07
05.01.23 02:00;0,07
05.01.23 03:00;0,12
05.01.23 04:00;2,23
05.01.23 05:00;10,07
05.01.23 06:00;61,04
05.01.23 07:00;87,19
05.01.23 08:00;95,84
05.01.23 09:00;125,55
05.01.23 10:00;131,92
05.01.23 11:00;143,07
05.01.23 12:00;140,91
05.01.23 13:00;142,58
05.01.23 14:00;151,03
05.01.23 15:00;159,48
05.01.23 16:00;172,73
05.01.23 17:00;194,7
05.01.23 18:00;194,67
05.01.23 19:00;177,98
05.01.23 20:00;163,99
05.01.23 21:00;152
05.01.23 22:00;144,64
05.01.23 23:00;127
06.01.23 00:00;107,21
06.01.23 01:00;101,1
06.01.23 02:00;96,73
06.01.23 03:00;82,34
06.01.23 04:00;81,93
06.01.23 05:00;84,03
06.01.23 06:00;97,25
06.01.23 07:00;106,51
06.01.23 08:00;120,7
06.01.23 09:00;116,86
06.01.23 10:00;112,85
06.01.23 11:00;113,37
06.01.23 12:00;115
06.01.23 13:00;109,78
06.01.23 14:00;119,71
06.01.23 15:00;125,83
06.01.23 16:00;139,57
06.01.23 17:00;155,93
