,type,nomload,minload,maxload,commitable,extendable,ramplim,margcost,flueCO2,x_biogen,nomelec,nomheat,eff,lifetime,capcost_total,capcost,elecout,heatDHTout,heat60out,standloss,nomsize,e_initial,e_cyclic,buy,sell,O2out,CO2out,buyfee
CHP,generator,60.0,0.6,1.0,True,False,0.15,-27.51428571,0.3374,0.5,13.5,30.0,,,,,,,,,,,,,,,,
CO2_exhaust,market,,,,,,,-41.795,,,,,,,,,,,,,,,,,,,,
heatrod,process,1e-06,,,,True,,,,,,,0.99,20.0,69300.0,3462.628336755647,,,,,,,,,,,,
heatpump_25_120,process,1e-06,,,,True,,,,,,,2.07,20.0,2164060.8,108128.97905544148,,,,,,,,,,,,
heatpump_25_60,process,1e-06,,,,True,,,,,,,4.76,20.0,4146912.0,207203.6796714579,,,,,,,,,,,,
heatpump_60_120,process,1e-06,,,,True,,,,,,,3.28,20.0,3429043.1999999997,171334.8073921971,,,,,,,,,,,,
CC,process,1e-06,,,,True,,,,,,,0.9,25.0,3300000.0,131909.65092402464,-0.03,-0.83,0.83,,,,,,,,,
CO2liquidification,process,1e-06,,,,True,,,,,,,1.0,25.0,16.03,0.6407611225188227,-0.123,-0.0067,,,,,,,,,,
CO2_L_store,store,,,,,True,,,,,,,1.0,25.0,2528.172,101.05766242299795,0.0,,,0.0,0.0,0.0,False,,,,,
CO2_L_market,market,,,,,,,10.0,,,,,,,,,,,,,,,,False,True,,,
H2compression,process,1e-06,,,,True,,,,,,,,15.0,79424.0,5291.309148984714,-0.0588,,,,,,,,,,,
H2_HP_store,store,,,,,True,,,,,,,,15.0,60613.8,4038.1541409993156,,,,0.0,0.0,0.0,False,,,,,
H2_HP_market,market,,,,,,,95.41,,,,,,,,,,,,,,,,False,True,,,
O2compression,process,1e-06,,,,True,,,,,,,,15.0,178852.1673,11915.316644216291,-0.083,,,,,,,,,,,
O2_HP_market,market,,,,,,,80.0,,,,,,,,,,,,,,,,False,True,,,
electrolyzer,process,1e-06,,,,True,,,,,,,0.655,20.0,925000.0,46218.34360027379,,,0.264,,,,,,,0.1546,,
CH3OHcatalysis,process,1e-06,,,,True,,,,,,,0.8787346221441126,20.0,665554.481546573,33254.94671656388,-0.2381370826010545,0.08787346221441127,,,,,,,,,-0.2179261862917399,
CH3OHmarket,market,,,,,,,66.87,,,,,,,,,,,,,,,,False,True,,,
CH4catalysis,process,1e-06,,,,True,,,,,,,0.7800312012480499,20.0,560806.7082683307,28021.142849820768,-7.800312012480499e-07,0.1744773790951638,,,,,,,,,-0.1544461778471139,
CH4market,market,,,,,,,30.55,,,,,,,,,,,,,,,,False,True,,,
batcharge,process,1e-06,,,,True,,,,,,,0.96,,,10.0,,,,,,,,,,,,
batstore,store,,,,,True,,,,,,,,20.0,1108063.0,55365.228610540726,,,,0.0001,0.0,0.0,False,,,,,
heatcharge,process,1e-06,,,,True,,,,,,,0.98,,,0.0,,,,,,,,,,,,
heatstore,store,,,,,True,,,,,,,,40.0,3036.096,75.8504476386037,,,,0.0001,0.0,0.0,False,,,,,
DAmarket,market,,,,,,,,,,,,,,,,,,,,,,,True,True,,,20.5
trafo,trafo,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,
