Column1,type,nomload,minload,maxload,commitable,extendable,ramplim,margcost,flueCO2,x_biogen,nomelec,nomheat,eff,lifetime,capcost_total,capcost,elecout,heatDHTout,heat60out,standloss,nomsize,e_initial,e_cyclic,buy,sell,O2out,CO2out,buyfee
CHP,generator,60,0.6,1,1,0,0.15,-27.51428571,0.3374,0.5,13.5,30,,,,,,,,,,,,,,,,
CO2_exhaust,market,,,,,,,-41.795,,,,,,,,,,,,,,,,,,,,
heatrod,process,0.000001,,,,1,,,,,,,0.99,20,59400,0,,,,,,,,,,,,
heatpump_25_120,process,0.000001,,,,1,,,,,,,2.07,20,1738800,0,,,,,,,,,,,,
heatpump_25_60,process,0.000001,,,,1,,,,,,,4.76,20,3332000,0,,,,,,,,,,,,
heatpump_60_120,process,0.000001,,,,1,,,,,,,3.28,20,2296000,0,,,,,,,,,,,,
CC,process,0.000001,,,,1,,,,,,,0.95,25,2000000,0,-0.02,-0.66,0.66,,,,,,,,,
CO2liquidification,process,0.000001,,,,1,,,,,,,1,25,16.03,0,-0.123,-0.0067,,,,,,,,,,
CO2_L_store,store,,,,,1,,,,,,,1,25,2528.172,0,0,,,0,0,0,0,,,,,
CO2_L_market,market,,,,,,,10,,,,,,,,,,,,,,,,0,1,,,
H2compression,process,0.000001,,,,1,,,,,,,,15,79423.5,0,-0.0588,,,,,,,,,,,
H2_HP_store,store,,,,,1,,,,,,,,15,22331.4,0,,,,0,0,0,0,,,,,
H2_HP_market,market,,,,,,,75.01,,,,,,,,,,,,,,,,0,1,,,
O2compression,process,0.000001,,,,1,,,,,,,,15,178852.1673,0,-0.083,,,,,,,,,,,
O2_HP_market,market,,,,,,,80,,,,,,,,,,,,,,,,0,1,,,
electrolyzer,process,0.000001,,,,1,,,,,,,0.705,30,400000,0,,,0.264,,,,,,,0.1546,,
CH3OHcatalysis,process,0.000001,,,,1,,,,,,,0.878734622,20,422305.7996,0,-0.238137083,0.087873462,,,,,,,,,-0.217926186,
CH3OHmarket,market,,,,,,,100,,,,,,,,,,,,,,,,0,1,,,
CH4catalysis,process,0.000001,,,,1,,,,,,,0.780031201,20,374870.8268,0,-7.80031E-07,0.174477379,,,,,,,,,-0.154446178,
CH4market,market,,,,,,,100,,,,,,,,,,,,,,,,0,1,,,
batcharge,process,0.000001,,,,1,,,,,,,0.96,,,0,,,,,,,,,,,,
batstore,store,,,,,1,,,,,,,,20,271167,0,,,,0.0001,0,0,0,,,,,
heatcharge,process,0.000001,,,,1,,,,,,,0.98,,,0,,,,,,,,,,,,
heatstore,store,,,,,1,,,,,,,,40,3036.096,0,,,,0.0001,0,0,0,,,,,
DAmarket,market,,,,,,,,,,,,,,,,,,,,,,,1,1,,,20.5
trafo,trafo,30,,,,,,,,,,,,,,,,,,,,,,,,,,
